Account Number,Account Name,Symbol,Description,Quantity,Last Price,Last Price Change,Current Value,Today's Gain/Loss Dollar,Today's Gain/Loss Percent,Total Gain/Loss Dollar,Total Gain/Loss Percent,Percent Of Account,Cost Basis Total,Average Cost Basis,Type
002,Sample Account,FDRXX**,HELD IN MONEY MARKET,,,,"$5,081.21 ",,,,,0.97%,"$5,081.21 ",,Cash
002,Sample Account,COST,COSTCO WHOLESALE CORP COM,203.391,$111.26 ,$1.21 ,"$22,628.51 ",$246.83 ,1.09%,($755.68),-3.23%,4.31%,"$23,384.19 ",$114.97 ,Cash
002,Sample Account,WMT,WALMART INC COM,169.192,$9.51 ,$0.05 ,"$1,609.76 ",$7.81 ,0.49%,($25.20),-1.54%,0.31%,"$1,634.96 ",$9.66 ,Cash
002,Sample Account,PFE,PFIZER INC,162.078,$143.10 ,($0.18),"$23,194.00 ",($29.75),-0.13%,"$8,795.36 ",61.08%,4.42%,"$14,398.64 ",$88.84 ,Cash
002,Sample Account,ITOT,ISHARES CORE S&P TOTAL US STOCK MARKET ETF,388.607,$54.68 ,($0.72),"$21,250.38 ",($279.61),-1.32%,"$2,728.63 ",14.73%,4.05%,"$18,521.75 ",$47.66 ,Cash
002,Sample Account,AXON,AXON ENTERPRISE INC COM,406.072,$23.11 ,($0.12),"$9,383.78 ",($49.19),-0.52%,"$3,602.98 ",62.33%,1.79%,"$5,780.80 ",$14.24 ,Cash
002,Sample Account,VNQ,VANGUARD REAL ESTATE ETF,353.129,$33.54 ,$0.04 ,"$11,844.27 ",$15.20 ,0.13%,"$4,634.58 ",64.28%,2.25%,"$7,209.69 ",$20.42 ,Cash
002,Sample Account,VBK,VANGUARD SMALL-CAP GROWTH INDEX FUND,425.617,$34.47 ,($0.86),"$14,670.53 ",($364.34),-2.48%,"$2,233.56 ",17.96%,2.79%,"$12,436.97 ",$29.22 ,Cash
002,Sample Account,VBR,VANGUARD SMALL CAP VALUE ETF,308.252,$65.69 ,($1.50),"$20,249.97 ",($462.91),-2.29%,($145.28),-0.71%,3.85%,"$20,395.25 ",$66.16 ,Cash
002,Sample Account,VEA,VANGUARD DEVELOPED MARKETS INDEX FUND ETF,166.068,$50.79 ,$1.15 ,"$8,434.14 ",$191.65 ,2.27%,($520.87),-5.82%,1.61%,"$8,955.01 ",$53.92 ,Cash
002,Sample Account,IXUS,ISHARES TR CORE MSCI TOTAL,22.858,$106.27 ,($0.71),"$2,429.23 ",($16.34),-0.67%,($600.39),-19.82%,0.46%,"$3,029.62 ",$132.54 ,Cash
002,Sample Account,NOW,SERVICENOW INC COM USD0.001,50.938,$246.89 ,$3.46 ,"$12,575.98 ",$176.35 ,1.40%,"$2,288.89 ",22.25%,2.39%,"$10,287.09 ",$201.95 ,Cash
002,Sample Account,PSTG,PURE STORAGE INC CL A,169.267,$87.61 ,($0.82),"$14,828.81 ",($139.01),-0.94%,"$5,545.63 ",59.74%,2.82%,"$9,283.18 ",$54.84 ,Cash
